RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1,audio,image
Sundar,1,200,526,15516,15712,501.8,72.5,RIGHT,36,216,10521986,463,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,296,505,15752,16044,688.8,102.7,RIGHT,32,216,10521986,470,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,188,525,16080,16264,612.1,252.8,RIGHT,32,216,10521986,480,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,560,534,16300,16856,483.5,242.2,RIGHT,24,216,10521986,487,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,100,474,16884,16980,565.9,228.1,RIGHT,36,216,10521986,504,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,192,479,17020,17208,378.1,222.8,RIGHT,24,216,10521986,508,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,152,481,17236,17384,330,167.8,RIGHT,24,216,10521986,515,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,700,490,17412,18108,377.1,164.8,RIGHT,52,216,10521986,520,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,480,481,18164,18640,795.6,310.7,RIGHT,40,216,10521986,543,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,216,447,18684,18896,848.1,492.4,RIGHT,36,216,10521986,558,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,172,436,18936,19104,685,537.7,RIGHT,48,216,10521986,566,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,180,453,19156,19332,360,551.5,RIGHT,44,216,10521986,572,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,204,439,19380,19580,326.1,372.7,RIGHT,52,216,10521986,579,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,756,406,19636,20388,808.5,378.8,RIGHT,36,216,10521986,587,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,600,452,20428,21024,706.6,451.1,RIGHT,32,216,10521986,610,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,172,432,21060,21228,643,573.2,RIGHT,20,216,10521986,629,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,188,437,21252,21436,644.3,525.1,RIGHT,56,216,10521986,635,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,292,466,21496,21784,383.2,267.3,RIGHT,20,216,10521986,642,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,608,450,21808,22412,401.1,190.3,RIGHT,48,216,10521986,652,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,144,457,22464,22604,436.5,600.8,RIGHT,20,216,10521986,672,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,216,434,22628,22840,414.3,562,RIGHT,20,216,10521986,676,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,396,407,22864,23256,364.5,544.4,RIGHT,28,216,10521986,684,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
