RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1
Brendan,1,140,179,44828,44964,320.2,156.4,RIGHT,16,189,9682126,1342,HandS.mp4,9682126,9753247,71000
Brendan,1,148,176,44984,45128,292.1,165.7,RIGHT,20,189,9682126,1347,HandS.mp4,9682126,9753247,71000
Brendan,1,104,173,45152,45252,329.8,167.3,RIGHT,16,189,9682126,1352,HandS.mp4,9682126,9753247,71000
Brendan,1,580,168,45272,45848,307.6,172.7,RIGHT,36,189,9682126,1356,HandS.mp4,9682126,9753247,71000
Brendan,1,164,176,45888,46048,237.1,299.7,RIGHT,28,189,9682126,1374,HandS.mp4,9682126,9753247,71000
Brendan,1,356,188,46080,46432,171.9,367,RIGHT,20,189,9682126,1380,HandS.mp4,9682126,9753247,71000
Brendan,1,356,196,46456,46808,219,367,RIGHT,20,189,9682126,1391,HandS.mp4,9682126,9753247,71000
Brendan,1,484,201,46832,47312,186.1,350.4,RIGHT,28,189,9682126,1402,HandS.mp4,9682126,9753247,71000
Brendan,1,280,213,47344,47620,178.1,529.9,RIGHT,20,189,9682126,1418,HandS.mp4,9682126,9753247,71000
Brendan,1,200,221,47644,47840,172,462,RIGHT,32,189,9682126,1427,HandS.mp4,9682126,9753247,71000
Brendan,1,216,216,47876,48088,223.1,266.5,RIGHT,28,189,9682126,1434,HandS.mp4,9682126,9753247,71000
Brendan,1,220,214,48120,48336,321,228.7,RIGHT,28,189,9682126,1441,HandS.mp4,9682126,9753247,71000
Brendan,1,404,209,48368,48768,365.1,189.2,RIGHT,24,189,9682126,1449,HandS.mp4,9682126,9753247,71000
Brendan,1,1388,228,48796,50180,304.1,201.1,RIGHT,48,189,9682126,1461,HandS.mp4,9682126,9753247,71000
Brendan,1,984,241,50232,51212,579.4,239.5,RIGHT,28,189,9682126,1504,HandS.mp4,9682126,9753247,71000
Brendan,1,840,244,51244,52080,651.6,258.2,RIGHT,28,189,9682126,1535,HandS.mp4,9682126,9753247,71000
Brendan,1,1008,227,52112,53116,707.4,307.1,RIGHT,60,189,9682126,1561,HandS.mp4,9682126,9753247,71000
Brendan,1,460,209,53180,53636,328.5,203.2,RIGHT,20,189,9682126,1593,HandS.mp4,9682126,9753247,71000
Brendan,1,536,200,53660,54192,367.6,196.5,RIGHT,16,189,9682126,1607,HandS.mp4,9682126,9753247,71000
Brendan,1,208,199,54212,54416,350.8,236.5,RIGHT,24,189,9682126,1624,HandS.mp4,9682126,9753247,71000
Brendan,1,112,199,54444,54552,408.2,269.9,RIGHT,28,189,9682126,1631,HandS.mp4,9682126,9753247,71000
Brendan,1,516,188,54584,55096,366.2,357,RIGHT,16,189,9682126,1635,HandS.mp4,9682126,9753247,71000
Brendan,1,184,181,55116,55296,307.1,427.7,RIGHT,24,189,9682126,1651,HandS.mp4,9682126,9753247,71000
Brendan,1,112,180,55324,55432,242.9,428,RIGHT,20,189,9682126,1657,HandS.mp4,9682126,9753247,71000
Brendan,1,384,182,55456,55836,126.4,294.6,RIGHT,16,189,9682126,1661,HandS.mp4,9682126,9753247,71000
Brendan,1,372,185,55856,56224,353.6,175.3,RIGHT,28,189,9682126,1673,HandS.mp4,9682126,9753247,71000
Brendan,1,728,187,56256,56980,360.3,190.6,RIGHT,24,189,9682126,1685,HandS.mp4,9682126,9753247,71000
Brendan,1,88,185,57008,57092,229.2,203.9,RIGHT,28,189,9682126,1708,HandS.mp4,9682126,9753247,71000
Brendan,1,88,186,57124,57208,312.9,211.5,RIGHT,24,189,9682126,1711,HandS.mp4,9682126,9753247,71000
Brendan,1,128,190,57236,57360,242.1,232.3,RIGHT,28,189,9682126,1715,HandS.mp4,9682126,9753247,71000
Brendan,1,172,192,57392,57560,336.9,271.6,RIGHT,48,189,9682126,1719,HandS.mp4,9682126,9753247,71000
Brendan,1,340,194,57612,57948,232.2,491.3,RIGHT,36,189,9682126,1726,HandS.mp4,9682126,9753247,71000
Brendan,1,564,198,57988,58548,258.1,337.2,RIGHT,24,189,9682126,1737,HandS.mp4,9682126,9753247,71000
Brendan,1,112,203,58576,58684,356.1,338.6,RIGHT,24,189,9682126,1755,HandS.mp4,9682126,9753247,71000
Brendan,1,108,206,58712,58816,304.5,329.4,RIGHT,32,189,9682126,1759,HandS.mp4,9682126,9753247,71000
Brendan,1,100,207,58852,58948,390.3,344.3,RIGHT,24,189,9682126,1763,HandS.mp4,9682126,9753247,71000
Brendan,1,80,208,58976,59052,336,344.4,RIGHT,24,189,9682126,1767,HandS.mp4,9682126,9753247,71000
Brendan,1,88,205,59080,59164,413.5,349.4,RIGHT,40,189,9682126,1770,HandS.mp4,9682126,9753247,71000
Brendan,1,260,198,59208,59464,224.6,217.4,RIGHT,24,189,9682126,1774,HandS.mp4,9682126,9753247,71000
Brendan,1,76,189,59492,59564,265.4,156.4,RIGHT,20,189,9682126,1782,HandS.mp4,9682126,9753247,71000
Brendan,1,384,190,59588,59968,400.2,197.5,RIGHT,28,189,9682126,1785,HandS.mp4,9682126,9753247,71000
Brendan,1,180,181,60000,60176,448.1,228.3,RIGHT,20,189,9682126,1798,HandS.mp4,9682126,9753247,71000
Brendan,1,256,180,60200,60452,354.3,209,RIGHT,16,189,9682126,1804,HandS.mp4,9682126,9753247,71000
Brendan,1,280,185,60472,60748,330,193.1,RIGHT,20,189,9682126,1812,HandS.mp4,9682126,9753247,71000
Brendan,1,236,177,60772,61004,399.2,163.6,RIGHT,20,189,9682126,1821,HandS.mp4,9682126,9753247,71000
Brendan,1,480,187,61028,61504,350.8,149,RIGHT,32,189,9682126,1828,HandS.mp4,9682126,9753247,71000
Brendan,1,196,196,61540,61732,474.4,170.9,RIGHT,28,189,9682126,1844,HandS.mp4,9682126,9753247,71000
Brendan,1,416,204,61764,62176,555.2,191.6,RIGHT,32,189,9682126,1850,HandS.mp4,9682126,9753247,71000
Brendan,1,184,227,62212,62392,695.3,161,RIGHT,36,189,9682126,1864,HandS.mp4,9682126,9753247,71000
Brendan,1,140,235,62432,62568,519.2,184.3,RIGHT,24,189,9682126,1870,HandS.mp4,9682126,9753247,71000
Brendan,1,228,240,62596,62820,587.2,213.7,RIGHT,24,189,9682126,1875,HandS.mp4,9682126,9753247,71000
Brendan,1,560,257,62848,63404,502.9,216.6,RIGHT,204,189,9682126,1883,HandS.mp4,9682126,9753247,71000
Brendan,1,160,241,63612,63768,603.7,98.9,RIGHT,44,189,9682126,1906,HandS.mp4,9682126,9753247,71000
Brendan,1,268,226,63816,64080,808.8,42.1,RIGHT,180,189,9682126,1912,HandS.mp4,9682126,9753247,71000
Brendan,1,44,224,64264,64304,1029.1,115.2,RIGHT,76,189,9682126,1925,HandS.mp4,9682126,9753247,71000
Brendan,1,152,238,64384,64532,622.6,215.7,RIGHT,20,189,9682126,1929,HandS.mp4,9682126,9753247,71000
Brendan,1,188,228,64556,64740,502.4,214.7,RIGHT,24,189,9682126,1934,HandS.mp4,9682126,9753247,71000
Brendan,1,80,223,64768,64844,526.9,241.5,RIGHT,32,189,9682126,1941,HandS.mp4,9682126,9753247,71000
Brendan,1,248,225,64880,65124,419.9,256.8,RIGHT,24,189,9682126,1944,HandS.mp4,9682126,9753247,71000
Brendan,1,532,218,65152,65680,350.7,233.3,RIGHT,16,189,9682126,1952,HandS.mp4,9682126,9753247,71000
Brendan,1,120,194,65700,65816,365.1,203.3,RIGHT,20,189,9682126,1969,HandS.mp4,9682126,9753247,71000
Brendan,1,212,195,65840,66048,332.6,199.9,RIGHT,24,189,9682126,1973,HandS.mp4,9682126,9753247,71000
Brendan,1,164,195,66076,66236,377.9,231.3,RIGHT,20,189,9682126,1980,HandS.mp4,9682126,9753247,71000
Brendan,1,156,194,66260,66412,425.6,269.3,RIGHT,20,189,9682126,1985,HandS.mp4,9682126,9753247,71000
Brendan,1,136,189,66436,66568,462.3,299.7,RIGHT,124,189,9682126,1991,HandS.mp4,9682126,9753247,71000
Brendan,1,108,192,66696,66800,553.2,263.2,RIGHT,24,189,9682126,1998,HandS.mp4,9682126,9753247,71000
Brendan,1,856,191,66828,67680,437.2,292.2,RIGHT,36,189,9682126,2002,HandS.mp4,9682126,9753247,71000
Brendan,1,288,211,67720,68004,251.2,289.8,RIGHT,32,189,9682126,2029,HandS.mp4,9682126,9753247,71000
Brendan,1,404,218,68040,68440,282.2,209.3,RIGHT,28,189,9682126,2039,HandS.mp4,9682126,9753247,71000
Brendan,1,324,236,68472,68792,163.3,179.8,RIGHT,32,189,9682126,2052,HandS.mp4,9682126,9753247,71000
Brendan,1,408,265,68828,69232,274.5,230.1,RIGHT,28,189,9682126,2062,HandS.mp4,9682126,9753247,71000
Brendan,1,364,279,69264,69624,207.4,231.7,RIGHT,32,189,9682126,2075,HandS.mp4,9682126,9753247,71000
Brendan,1,304,269,69660,69960,348.6,162.5,RIGHT,44,189,9682126,2087,HandS.mp4,9682126,9753247,71000
Brendan,1,704,260,70008,70708,161.1,174.3,RIGHT,20,189,9682126,2098,HandS.mp4,9682126,9753247,71000
Brendan,1,388,231,70732,71116,165.6,181.3,RIGHT,.,189,9682126,2119,HandS.mp4,9682126,9753247,71000
Brendan,2,48,192,4,48,477,314.3,RIGHT,16,189,9753766,.,PBJ.mp4,9753766,9840891,87000
Brendan,2,104,197,68,168,561.7,344.4,RIGHT,24,189,9753766,.,PBJ.mp4,9753766,9840891,87000
Brendan,2,132,203,196,324,503,350.6,RIGHT,40,189,9753766,4,PBJ.mp4,9753766,9840891,87000
Brendan,2,560,228,368,924,493.1,180.1,RIGHT,16,189,9753766,9,PBJ.mp4,9753766,9840891,87000
Brendan,2,408,233,944,1348,527.3,193.3,RIGHT,60,189,9753766,26,PBJ.mp4,9753766,9840891,87000
Brendan,2,128,217,1412,1536,742.6,627,RIGHT,32,189,9753766,40,PBJ.mp4,9753766,9840891,87000
Brendan,2,644,255,1572,2212,821.4,694.7,RIGHT,64,189,9753766,45,PBJ.mp4,9753766,9840891,87000
Brendan,2,164,278,2280,2440,534.7,239.7,RIGHT,16,189,9753766,66,PBJ.mp4,9753766,9840891,87000
Brendan,2,460,294,2460,2916,497,189.1,RIGHT,44,189,9753766,72,PBJ.mp4,9753766,9840891,87000
Brendan,2,732,287,2964,3692,536.6,478.3,RIGHT,48,189,9753766,87,PBJ.mp4,9753766,9840891,87000
Brendan,2,252,295,3744,3992,272.6,591.6,RIGHT,32,189,9753766,110,PBJ.mp4,9753766,9840891,87000
Brendan,2,136,292,4028,4160,173.7,557.9,RIGHT,108,189,9753766,119,PBJ.mp4,9753766,9840891,87000
Brendan,2,484,273,4272,4752,509.3,221.7,RIGHT,20,189,9753766,126,PBJ.mp4,9753766,9840891,87000
Brendan,2,32,291,4776,4804,505.6,321.4,RIGHT,20,189,9753766,141,PBJ.mp4,9753766,9840891,87000
Brendan,2,260,289,4828,5084,472.1,541.3,RIGHT,28,189,9753766,143,PBJ.mp4,9753766,9840891,87000
Brendan,2,876,313,5116,5988,526.1,446.2,RIGHT,36,189,9753766,151,PBJ.mp4,9753766,9840891,87000
Brendan,2,188,322,6028,6212,525.3,241.5,RIGHT,20,189,9753766,179,PBJ.mp4,9753766,9840891,87000
Brendan,2,776,342,6236,7008,494,202.6,RIGHT,112,189,9753766,185,PBJ.mp4,9753766,9840891,87000
Brendan,2,24,347,7124,7144,490.4,318.8,RIGHT,24,189,9753766,211,PBJ.mp4,9753766,9840891,87000
Brendan,2,208,316,7172,7376,455.6,500.6,RIGHT,24,189,9753766,213,PBJ.mp4,9753766,9840891,87000
Brendan,2,348,345,7404,7748,540,469.5,RIGHT,20,189,9753766,220,PBJ.mp4,9753766,9840891,87000
Brendan,2,424,339,7772,8192,497.3,447.2,RIGHT,20,189,9753766,231,PBJ.mp4,9753766,9840891,87000
Brendan,2,1064,305,8216,9276,526.9,433.6,RIGHT,40,189,9753766,244,PBJ.mp4,9753766,9840891,87000
Brendan,2,404,296,9320,9720,507.8,237.7,RIGHT,56,189,9753766,277,PBJ.mp4,9753766,9840891,87000
Brendan,2,268,312,9780,10044,264.6,549,RIGHT,20,189,9753766,291,PBJ.mp4,9753766,9840891,87000
Brendan,2,24,299,10068,10088,243.2,542.9,RIGHT,56,189,9753766,300,PBJ.mp4,9753766,9840891,87000
Brendan,2,100,303,10148,10244,498.6,329.8,RIGHT,28,189,9753766,302,PBJ.mp4,9753766,9840891,87000
Brendan,2,324,301,10276,10596,514.3,209.9,RIGHT,52,189,9753766,306,PBJ.mp4,9753766,9840891,87000
Brendan,2,3700,292,10652,14348,557.8,486.2,RIGHT,36,189,9753766,317,PBJ.mp4,9753766,9840891,87000
Brendan,2,144,268,14388,14528,677.5,261.3,RIGHT,48,189,9753766,429,PBJ.mp4,9753766,9840891,87000
Brendan,2,188,256,14580,14764,853.1,105.3,RIGHT,84,189,9753766,435,PBJ.mp4,9753766,9840891,87000
Brendan,2,100,261,14852,14948,52.4,81.7,RIGHT,500,189,9753766,443,PBJ.mp4,9753766,9840891,87000
